"","listname","description","source","groups","tissue","Species","full.source","ensemble.genes"
"158","P4 vs P14 female MG","RNAseq differentially expressed genes P4 vs P14 female","Hanamsagar et al., 2017","Microglia Development","microglia","mouse","Hanamsagar R, Alter MD, Block CS, Sullivan H, Bolton JL, Bilbo SD. Generation of a microglial developmental index in mice and in humans reveals a sex difference in maturation and immune reactivity. Glia. 2017;65(9):1504-1520. doi:10.1002/glia.23176",2382
"159","P4 vs P14 male MG","RNAseq differentially expressed genes P4 vs P14 male","Hanamsagar et al., 2017","Microglia Development","microglia","mouse","Hanamsagar R, Alter MD, Block CS, Sullivan H, Bolton JL, Bilbo SD. Generation of a microglial developmental index in mice and in humans reveals a sex difference in maturation and immune reactivity. Glia. 2017;65(9):1504-1520. doi:10.1002/glia.23176",2757
"160","P4 vs P60 female MG","RNAseq differentially expressed genes P4 vs P60 female","Hanamsagar et al., 2017","Microglia Development","microglia","mouse","Hanamsagar R, Alter MD, Block CS, Sullivan H, Bolton JL, Bilbo SD. Generation of a microglial developmental index in mice and in humans reveals a sex difference in maturation and immune reactivity. Glia. 2017;65(9):1504-1520. doi:10.1002/glia.23176",3916
"161","P4 vs P60 male MG","RNAseq differentially expressed genes P4 vs P60 male","Hanamsagar et al., 2017","Microglia Development","microglia","mouse","Hanamsagar R, Alter MD, Block CS, Sullivan H, Bolton JL, Bilbo SD. Generation of a microglial developmental index in mice and in humans reveals a sex difference in maturation and immune reactivity. Glia. 2017;65(9):1504-1520. doi:10.1002/glia.23176",3090
"162","P45 Hdac1/2 KO MG < WT","Differentially expressed genes with lower expression in Hdac1/2 KO MG compared to WT at Postnatal day 45; deletion embryonic","Datta, et al., 2018","Microglia","microglia","mouse","Datta M, Staszewski O, Raschi E, et al. Histone Deacetylases 1 and 2 Regulate Microglia Function during Development, Homeostasis, and Neurodegeneration in a Context-Dependent Manner. Immunity. 2018;48(3):514-529.e6. doi:10.1016/j.immuni.2018.02.016",9
"163","P45 Hdac1/2 KO MG > WT","Differentially expressed genes with higher expression in Hdac1/2 KO MG compared to WT at Postnatal day 45; deletion embryonic","Datta, et al., 2018","Microglia","microglia","mouse","Datta M, Staszewski O, Raschi E, et al. Histone Deacetylases 1 and 2 Regulate Microglia Function during Development, Homeostasis, and Neurodegeneration in a Context-Dependent Manner. Immunity. 2018;48(3):514-529.e6. doi:10.1016/j.immuni.2018.02.016",175
"164","P60 MG ABX Female>Male","genes with higher expression in female compared to male antibiotic treated mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",2
"165","P60 MG ABX Male>Female","genes with higher expression in male ompared to female antibiotic treated mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",5
"166","P60 MG ABX>SPF","genes with higher expression in antibiotic treated mice compared to specific pathogen free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",30
"167","P60 MG Female ABX>SPF","genes with higher expression in female antibiotic treated mice compared to specific pathogen free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",18
"168","P60 MG Female GF>SPF","genes with higher expression in female germ free mice compared to specific pathogen free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",227
"169","P60 MG Female SPF>ABX","genes with higher expression in female specific pathogen free mice compared to antibiotic treated mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",22
"170","P60 MG Female SPF>GF","genes with higher expression in female specific pathogen free mice compared to germ free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",208
"171","P60 MG GF Female>Male","genes with higher expression in female compared to male germ free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",323
"172","P60 MG GF Male>Female","genes with higher expression in male compared to female germ free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",69
"173","P60 MG GF>SPF","genes with higher expression in germ free mice compared to specific pathogen free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",19
"174","P60 MG Male ABX>SPF","genes with higher expression in male antibiotic treated mice compared to specific pathogen free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",50
"175","P60 MG Male GF>SPF","genes with higher expression in male germ free mice compared to specific pathogen free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",13
"176","P60 MG Male SPF>ABX","genes with higher expression in male specific pathogen free mice compared to antibiotic treated mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",42
"177","P60 MG Male SPF>GF","genes with higher expression in male specific pathogen free mice compared to germ free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",14
"178","P60 MG SPF Female>Male","genes with higher expression in female compared to male specific pathogen free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",332
"179","P60 MG SPF Male>Female","genes with higher expression in male compared to female specific pathogen free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",192
"180","P60 MG SPF>ABX","genes with higher expression in specific pathogen free mice compared to antibiotic treated mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",35
"181","P60 MG SPF>GF","genes with higher expression in specific pathogen free mice compared to germ free mice at P60","Thion et al., 2018","Microglia Development","microglia","mouse","Thion MS, Low D, Silvin A, et al. Microbiome Influences Prenatal and Adult Microglia in a Sex-Specific Manner. Cell. 2018. doi:10.1016/j.cell.2017.11.042",18
"182","P60 MvsF LPS","RNAseq from adult (P60) male vs female mice 2hrs after LPS injection","Hanamsagar et al., 2017","Microglia","microglia","mouse","Hanamsagar R, Alter MD, Block CS, Sullivan H, Bolton JL, Bilbo SD. Generation of a microglial developmental index in mice and in humans reveals a sex difference in maturation and immune reactivity. Glia. 2017;65(9):1504-1520. doi:10.1002/glia.23176",2
"183","Parikshak ASD<Ctrl","RNAseq genes with lower expression in ASD compared to controls","Parikshak et al., 2016","Neuropsychiatric & Neurodevelopmental Disorders human brain","brain","human","Parikshak NN, Swarup V, Belgard TG, et al. Genome-wide changes in lncRNA, splicing, and regional gene expression patterns in autism. Nature. 2016;540(7633):423-427. doi:10.1038/nature20612",488
"184","Parikshak ASD>Ctrl","RNAseq genes with higher expression in ASD compared to controls","Parikshak et al., 2016","Neuropsychiatric & Neurodevelopmental Disorders human brain","brain","human","Parikshak NN, Swarup V, Belgard TG, et al. Genome-wide changes in lncRNA, splicing, and regional gene expression patterns in autism. Nature. 2016;540(7633):423-427. doi:10.1038/nature20612",519
"185","PBS<LPSx1 post 6 months DEGs","PBS<LPSx1 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","microglia","mouse","Wendeln A-C, Degenhardt K, Kaurani L, et al. Innate immune memory in the brain shapes neurological disease hallmarks. Nature. 2018;556(7701):332-338. doi:10.1038/s41586-018-0023-4",118
"186","PBS<LPSx4 post 6 months DEGs","PBS<LPSx4 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","microglia","mouse","Wendeln A-C, Degenhardt K, Kaurani L, et al. Innate immune memory in the brain shapes neurological disease hallmarks. Nature. 2018;556(7701):332-338. doi:10.1038/s41586-018-0023-4",238
"187","PBS>LPSx1 post 6 months DEGs","PBS>LPSx1 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","microglia","mouse","Wendeln A-C, Degenhardt K, Kaurani L, et al. Innate immune memory in the brain shapes neurological disease hallmarks. Nature. 2018;556(7701):332-338. doi:10.1038/s41586-018-0023-4",159
"188","PBS>LPSx4 post 6 months DEGs","PBS>LPSx4 6 month later whole brain DEGs","Wendeln et al., 2018","Microglia","microglia","mouse","Wendeln A-C, Degenhardt K, Kaurani L, et al. Innate immune memory in the brain shapes neurological disease hallmarks. Nature. 2018;556(7701):332-338. doi:10.1038/s41586-018-0023-4",250
"189","PLI>0.9","Exome Aggregation Consortium","Lek, et al., 2016","Neuropsychiatric & Neurodevelopmental Disorders human brain","blood","human","Lek M, Karczewski KJ, Minikel E V., et al. Analysis of protein-coding genetic variation in 60,706 humans. Nature. 2016;536(7616):285-291. doi:10.1038/nature19057",3146
"190","preminusMG cluster","Gene cluster with higher expression in pre-microglia progenitors compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","microglia","mouse","Matcovitch-Natan O, Winter DR, Giladi A, et al. Microglia development follows a stepwise program to regulate brain homeostasis. Science (80- ). 2016;8670. doi:10.1126/science.aad8670",560
"191","PrimedMG Down","Weighted Gene Co-expression Network meta-analysis multiple microglial RNAseq datasets","Holtman et al., 2015","Microglia","microglia","mouse","Holtman IR, Raj DD, Miller JA, et al. Induction of a common microglia gene expression signature by aging and neurodegenerative conditions: a co-expression meta-analysis. Acta Neuropathol Commun. 2015;3(1):1-18. doi:10.1186/s40478-015-0203-5",193
"192","PrimedMG UP","Weighted Gene Co-expression Network meta-analysis multiple microglial RNAseq datasets","Holtman et al., 2015","Microglia","microglia","mouse","Holtman IR, Raj DD, Miller JA, et al. Induction of a common microglia gene expression signature by aging and neurodegenerative conditions: a co-expression meta-analysis. Acta Neuropathol Commun. 2015;3(1):1-18. doi:10.1186/s40478-015-0203-5",259
"193","PU 1 ChipSeq Targets","ChIPseq target genes","Satoh, et al., 2014","Microglia","macrophage","mouse","Satoh J, Asahina N, Kitano S, Kino Y. A Comprehensive Profile of ChIP-Seq-Based PU.1/Spi1 Target Genes in Microglia. Gene Regul Syst Bio. 2014;8:127. doi:10.4137/GRSB.S19711",4553
"194","Ramified > Amoeboid MG","DEGs with higher expression in ramified vs. amoeboid microglia","Parakalan et al. 2012","Microglia","microglia","rat","Parakalan R, Jiang B, Nimmi B, et al. Transcriptome analysis of amoeboid and ramified microglia isolated from the corpus callosum of rat brain. BMC Neurosci 2012 131. 2012;13(1):1-20. doi:10.1186/1471-2202-13-64",557
"195","Recovery EAE vs. CTRL spinal cord MG","DEGs in EAE vs. CTRL spinal cord microglia in recovery, nanostring array","Krasemann, et al., 2018","Microglia","microglia spinal cord","mouse","Krasemann S, Madore C, Cialic R, et al. The TREM2-APOE pathway drives the transcriptional phenotype of dysfunctional microglia in neurodegenerative diseases. Immunity. 2017;47(3):566. doi:10.1016/J.IMMUNI.2017.08.008",141
"196","Rett human brain DE genes","Rnaseq & microarray DE genes RTT","Lin et al., 2016","Neuropsychiatric & Neurodevelopmental Disorders human brain","brain","human","Lin P, Nicholls L, Assareh H, et al. Transcriptome analysis of human brain tissue identifies reduced expression of complement complex C1Q Genes in Rett syndrome. BMC Genomics. 2016;17(1):427. doi:10.1186/s12864-016-2746-7",210
"197","Sal1delMG<Ctrl","Sal1del MG < Control MG adult array","Buttgereit et al. 2016","Microglia","microglia","mouse","Buttgereit A, Lelios I, Yu X, et al. Sall1 is a transcriptional regulator defining microglia identity and function. Nat Immunol. 2016. doi:10.1038/ni.3585",235
"198","Sal1delMG>Ctrl","Sal1delMG>Ctrl","Buttgereit et al. 2016","Microglia","microglia","mouse","Buttgereit A, Lelios I, Yu X, et al. Sall1 is a transcriptional regulator defining microglia identity and function. Nat Immunol. 2016. doi:10.1038/ni.3585",345
"199","Sanders High Risk ASD ","65 high confidence ASD risk genes","Sanders, et al., 2015","ASD genetics","blood","human","Sanders SJ, He X, Willsey AJ, et al. Insights into Autism Spectrum Disorder Genomic Architecture and Biology from 71 Risk Loci. Neuron. 2015;87(6):1215-1233. doi:10.1016/j.neuron.2015.09.016",62
"200","Schizophrenia LGD","LGD mutations linked to schizophrenia","Iossifov, et al., 2014","ASD genetics","blood","human","Iossifov I, O ’roak BJ, Sanders SJ, et al. The contribution of de novo coding mutations to autism spectrum disorder. Nature. 2014;000(515):216-221. doi:10.1038/nature13908",87
"201","SCZ NCrnas","SCZ Differentially Expressed non-coding RNAs","Gandal, et al., 2018b","Neuropsychiatric & Neurodevelopmental Disorders human brain","brain","human","Gandal MJ, Zhang P, Hadjimichael E, et al. Transcriptome-wide isoform-level dysregulation in ASD, schizophrenia, and bipolar disorder. Science (80- ). 2018;362(6420):eaat8127. doi:10.1126/science.aat8127",3
"202","SCZ<Ctrl","RNAseq genes with lower expression in Schizophrenia compared to controls","Gandal, et al., 2018","Neuropsychiatric & Neurodevelopmental Disorders human brain","brain","human","Gandal MJ, Haney J, Parikshak N, Leppa V, Horvath S, Geschwind DH. Shared molecular neuropathology across major psychiatric disorders parallels polygenic overlap. Science (80- ). 2018;693(February):693-697. doi:10.1101/040022",2045
"203","SCZ>Ctrl","RNAseq genes with higher expression in Schizophrenia compared to controls","Gandal, et al., 2018","Neuropsychiatric & Neurodevelopmental Disorders human brain","brain","human","Gandal MJ, Haney J, Parikshak N, Leppa V, Horvath S, Geschwind DH. Shared molecular neuropathology across major psychiatric disorders parallels polygenic overlap. Science (80- ). 2018;693(February):693-697. doi:10.1101/040022",2173
"204","SFARI High Confidence","Currated database","https://gene.sfari.org/","ASD genetics","blood","human","https://gene.sfari.org/",11
"205","SFARI Hypothesized","Currated database","https://gene.sfari.org/","ASD genetics","blood","human","https://gene.sfari.org/",158
"206","SFARI Minimal","Currated database","https://gene.sfari.org/","ASD genetics","blood","human","https://gene.sfari.org/",379
"207","SFARI Strong Candidate","Currated database","https://gene.sfari.org/","ASD genetics","blood","human","https://gene.sfari.org/",45
"208","SFARI Suggestive","Currated database","https://gene.sfari.org/","ASD genetics","blood","human","https://gene.sfari.org/",157
"209","SFARI Syndromic","Currated database","https://gene.sfari.org/","ASD genetics","blood","human","https://gene.sfari.org/",151
"210","State 1 GW 9 to -11 microglia, phagocytosis, activation and glycolysis ","SC-RNAseq State 1 Gestational week 9 to -11 microglia, phagocytosis, activation and glycolysis ","Kracht et al. 2020","Microglia","microglia","human","Kracht L, Borggrewe M, Eskandar S, et al. Human fetal microglia acquire homeostatic immune-sensing properties early in development. Science (80- ). 2020;369(6503):530-537. doi:10.1126/science.aba5906",291
"211","State 2 oxidative phosphorylation, cell cycle, and the immediate-early response","SC-RNAseq State 2 oxidative phosphorylation, cell cycle, and the immediate-early response","Kracht et al. 2020","Microglia","microglia","human","Kracht L, Borggrewe M, Eskandar S, et al. Human fetal microglia acquire homeostatic immune-sensing properties early in development. Science (80- ). 2020;369(6503):530-537. doi:10.1126/science.aba5906",48
"212","State 3","SC-RNAseq State 3","Kracht et al. 2020","Microglia","microglia","human","Kracht L, Borggrewe M, Eskandar S, et al. Human fetal microglia acquire homeostatic immune-sensing properties early in development. Science (80- ). 2020;369(6503):530-537. doi:10.1126/science.aba5906",10
"213","State 4 oxidative phosphorylation, cell cycle, and the immediate-early response","SC-RNAseq State 4 oxidative phosphorylation, cell cycle, and the immediate-early response","Kracht et al. 2020","Microglia","microglia","human","Kracht L, Borggrewe M, Eskandar S, et al. Human fetal microglia acquire homeostatic immune-sensing properties early in development. Science (80- ). 2020;369(6503):530-537. doi:10.1126/science.aba5906",5
"214","State 6 oxidative phosphorylation, cell cycle, and the immediate-early response","SC-RNAseq State 6 oxidative phosphorylation, cell cycle, and the immediate-early response","Kracht et al. 2020","Microglia","microglia","human","Kracht L, Borggrewe M, Eskandar S, et al. Human fetal microglia acquire homeostatic immune-sensing properties early in development. Science (80- ). 2020;369(6503):530-537. doi:10.1126/science.aba5906",51
"215","State 7 GW 12 to -18 microglia, homeostatic sensome markers","SC-RNAseq State 7 Gestational week 12 to -18 microglia, homeostatic sensome markers","Kracht et al. 2020","Microglia","microglia","human","Kracht L, Borggrewe M, Eskandar S, et al. Human fetal microglia acquire homeostatic immune-sensing properties early in development. Science (80- ). 2020;369(6503):530-537. doi:10.1126/science.aba5906",65
"216","WT vs. FAD Tg MG DEGs","WT, FAD Tg, or FAD-Hdac1/2KO double Tg microglia DEGs","Datta, et al., 2018","Microglia","microglia","mouse","Datta M, Staszewski O, Raschi E, et al. Histone Deacetylases 1 and 2 Regulate Microglia Function during Development, Homeostasis, and Neurodegeneration in a Context-Dependent Manner. Immunity. 2018;48(3):514-529.e6. doi:10.1016/j.immuni.2018.02.016",6
"217","WT vs. FAD-Hdack1/2 KO MG DEGs","WT, FAD Tg, or FAD-Hdac1/2KO double Tg microglia DEGs","Datta, et al., 2018","Microglia","microglia","mouse","Datta M, Staszewski O, Raschi E, et al. Histone Deacetylases 1 and 2 Regulate Microglia Function during Development, Homeostasis, and Neurodegeneration in a Context-Dependent Manner. Immunity. 2018;48(3):514-529.e6. doi:10.1016/j.immuni.2018.02.016",8
"218","Young<Old MG","3 month MG < 22 month MG RNAseq","Deczkowska et al. 2018","Microglia","microglia","mouse","Deczkowska A, Matcovitch-Natan O, Tsitsou-Kampeli A, et al. Mef2C restrains microglial inflammatory response and is lost in brain ageing in an IFN-I-dependent manner. Nat Commun. 2017;8(1):717. doi:10.1038/s41467-017-00769-0",386
"219","Young>Old MG","3 month MG > 22 month MG RNAseq","Deczkowska et al. 2018","Microglia","microglia","mouse","Deczkowska A, Matcovitch-Natan O, Tsitsou-Kampeli A, et al. Mef2C restrains microglial inflammatory response and is lost in brain ageing in an IFN-I-dependent manner. Nat Commun. 2017;8(1):717. doi:10.1038/s41467-017-00769-0",301
"220","YS cluster","Gene cluster with higher expression in Yolk Sac progenitors compared to other microglia developmental timepoints","Matcovitch-Natan, et al., 2016","Microglia Development","microglia","mouse","Matcovitch-Natan O, Winter DR, Giladi A, et al. Microglia development follows a stepwise program to regulate brain homeostasis. Science (80- ). 2016;8670. doi:10.1126/science.aad8670",346
